,Date/Time - Peak Brightness (UT),Latitude (Deg),Longitude (Deg),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
77,09/10/2012 01:03:32 AM,69.8S,111.7W,24.0,21.0,-10.0,-5.0,12.0,23000000000.0,0.0
78,04/08/2015 04:06:31 AM,25.5S,51.5E,36.0,25.0,8.0,-16.0,-8.0,173000000000.0,0.0
79,08/27/2012 06:57:43 AM,18.3S,64.2E,39.0,33.0,-8.0,-24.0,-14.0,68000000000.0,0.0
80,08/26/2012 02:55:47 PM,11.8N,117.0E,36.0,24.0,5.0,-12.0,-1.0,249000000000.0,1.0
81,09/18/2012 07:34:39 PM,1.2N,52.2W,28.0,18.0,-2.0,14.0,-12.0,244000000000.0,1.0
82,04/03/2015 01:39:38 AM,8.4N,157.9W,32.0,21.0,1.0,-3.0,-1.0,42000000000.0,0.0
83,09/11/2012 10:07:30 PM,18.9S,105.2E,32.0,21.0,1.0,-3.0,-1.0,52000000000.0,0.0
84,04/21/2012 04:08:23 PM,15.8S,174.8W,32.0,21.0,1.0,-3.0,-1.0,143000000000.0,0.0
85,04/30/2015 10:21:01 AM,48.7S,139.1E,27.0,17.0,12.0,-4.0,1.0,105000000000.0,0.0
86,07/27/2012 04:19:50 AM,63.1N,172.3E,27.0,20.0,2.0,-3.0,-2.0,34000000000.0,0.0
87,05/04/2012 09:54:49 PM,76.7N,10.6W,32.0,21.0,1.0,-3.0,-1.0,229000000000.0,1.0
88,04/23/2012 10:01:10 PM,36.2N,107.4E,25.0,19.0,2.0,-3.0,-2.0,44000000000.0,0.0
89,07/25/2012 07:48:20 AM,36.4N,41.5E,27.0,20.0,1.0,2.0,-18.0,133000000000.0,0.0
90,04/21/2015 01:42:51 AM,37.7N,39.6W,37.0,22.0,-15.0,13.0,7.0,88000000000.0,0.0
91,05/15/2012 11:04:17 AM,61.8S,135.5W,33.0,19.0,-1.0,1.0,17.0,132000000000.0,0.0
