,Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
124,294P/LINEAR,55173.0,2454631.335,0.5945159337,19.0857983,233.2695182,315.4433207,1.2977346490000001,5.1,5.73,0.39361399999999996,0.39361399999999996,0.39361399999999996,0.39361399999999996,0.39361399999999996,27,294P/LINEAR
125,300P/Catalina,56981.0,2456807.378,0.6934621679999999,5.6914709210000005,222.7484631,95.80660340000001,0.8259797783,4.56,4.42,0.024454,0.0122269998375,-3.25e-10,-3.25e-10,-3.25e-10,9,300P/Catalina
126,306P/LINEAR,53391.0,2452865.469,0.5982594907,8.364457777,0.7688016312,341.4986017,1.246918534,4.96,5.47,0.239208,0.239208,0.239208,0.239208,0.239208,31,306P/LINEAR
127,317P/WISE,55727.0,2455385.227,0.5904467346,10.64556918,328.72796339999996,280.9856039,1.198390481,4.65,5.01,0.203854,0.203854,0.203854,0.203854,0.203854,9,317P/WISE
128,C/1906 V1 (Thiele),17544.0,2417536.077,0.9487613645,56.03318114,8.456068197999999,85.80950568,1.208610867,45.97,114.56,0.230296,0.230296,0.230296,0.230296,0.230296,3,C/1906 V1 (Thiele)
129,C/1921 H1 (Dubiago),22841.0,2422813.844,0.8477830042,22.07043089,96.44867266,68.21958086,1.098349017,13.33,19.38,0.36752399999999996,0.36752399999999996,0.36752399999999996,0.36752399999999996,0.36752399999999996,3,C/1921 H1 (Dubiago)
130,D/1978 R1 (Haneda-Campos),43773.0,2443790.992,0.6652319399000001,5.947329619,240.4622187,132.2535138,1.101417705,5.48,5.97,0.13492,0.13492,0.13492,0.13492,0.13492,7,D/1978 R1 (Haneda-Campos)
131,C/1991 L3 (Levy),48547.0,2448445.695,0.9288178631,19.19030997,41.47119826,329.43098369999996,0.9825594709000001,26.62,51.28,0.074988,0.074988,0.074988,0.074988,0.074988,9,C/1991 L3 (Levy)
132,P/1999 J6 (SOHO),53580.0,2453318.081,0.9841773128,26.6131418,21.97680319,81.61378154,0.04905822804,6.15,5.46,0.010175,3.95e-07,-1.89e-09,-1.89e-09,-1.89e-09,6,P/1999 J6 (SOHO)
133,P/1999 R1 (SOHO),53089.0,2452891.317,0.9774091221,13.67622884,43.68972274,4.9323749569999995,0.0570126508,4.99,4.01,0.076579,0.076579,0.076579,0.076579,0.076579,3,P/1999 R1 (SOHO)
134,P/1999 RO28 (LONEOS),51441.0,2451453.8430000003,0.6507867331,8.191041706,219.85882630000003,148.4502956,1.231758765,5.82,6.62,0.24763800000000002,0.24763800000000002,0.24763800000000002,0.24763800000000002,0.24763800000000002,15,P/1999 RO28 (LONEOS)
135,C/1999 X3 (SOHO),53074.0,2453076.829,0.9816398786,6.337569475,353.7341335,323.490768,0.04795123414,5.18,4.22,0.031348,0.031348,0.031348,0.031348,0.031348,5,C/1999 X3 (SOHO)
136,C/2001 OG108 (LONEOS),52248.0,2452348.706,0.925259301,80.24505505,116.4195121,10.5552957,0.9940478795000001,25.61,48.5,0.300836,0.300836,0.300836,0.300836,0.300836,40,C/2001 OG108 (LONEOS)
137,C/2001 W2 (BATTERS),52249.0,2452267.418,0.9413734582,115.91308970000001,142.0857566,113.35589679999998,1.051064641,34.81,75.91,0.145327,0.145327,0.145327,0.145327,0.145327,22,C/2001 W2 (BATTERS)
138,C/2002 R5 (SOHO),53575.0,2452522.684,0.9852612620000001,14.12062881,45.7237989,13.21421538,0.047401601339999995,6.38,5.77,0.094044,0.094044,0.094044,0.094044,0.094044,3,C/2002 R5 (SOHO)
